area_type,population_density,traffic_flow,green_spaces,public_transport,optimization_suggestion
downtown,967,291,88,66,increase_green_spaces
suburban,944,402,21,58,increase_green_spaces
downtown,358,51,91,68,optimize_traffic
suburban,772,274,28,12,expand_public_transport
industrial,789,338,12,46,increase_green_spaces
industrial,109,282,81,60,expand_public_transport
downtown,360,463,1,30,increase_green_spaces
industrial,749,466,28,79,increase_green_spaces
industrial,271,126,84,95,optimize_traffic
suburban,997,165,78,21,increase_green_spaces
downtown,112,203,51,92,increase_green_spaces
suburban,267,455,26,85,optimize_traffic
suburban,741,152,49,42,expand_public_transport
suburban,695,243,94,66,increase_green_spaces
suburban,420,215,78,53,optimize_traffic
suburban,418,408,22,9,increase_green_spaces
suburban,712,139,87,41,optimize_traffic
suburban,428,223,43,63,expand_public_transport
downtown,884,171,76,20,expand_public_transport
industrial,876,192,21,79,optimize_traffic
suburban,649,155,42,75,optimize_traffic
suburban,518,424,36,65,optimize_traffic
suburban,705,477,60,40,expand_public_transport
suburban,194,354,96,23,increase_green_spaces
suburban,916,409,55,34,expand_public_transport
suburban,680,366,2,55,optimize_traffic
industrial,417,172,62,29,optimize_traffic
industrial,335,439,18,56,expand_public_transport
suburban,433,58,22,93,optimize_traffic
industrial,984,311,28,46,expand_public_transport
downtown,475,122,29,34,optimize_traffic
suburban,558,408,38,18,increase_green_spaces
downtown,236,272,24,7,increase_green_spaces
downtown,687,465,7,25,optimize_traffic
suburban,646,90,57,70,expand_public_transport
industrial,612,419,15,29,increase_green_spaces
downtown,395,253,71,6,expand_public_transport
suburban,419,313,0,66,optimize_traffic
downtown,671,377,4,64,expand_public_transport
downtown,931,227,2,35,increase_green_spaces
downtown,448,397,64,24,expand_public_transport
downtown,939,367,3,36,expand_public_transport
industrial,878,133,98,0,optimize_traffic
downtown,972,367,95,14,optimize_traffic
downtown,328,160,63,36,optimize_traffic
downtown,369,300,97,12,increase_green_spaces
industrial,927,432,88,7,increase_green_spaces
downtown,897,56,9,4,optimize_traffic
downtown,390,133,20,59,optimize_traffic
industrial,824,257,45,72,increase_green_spaces
industrial,264,437,90,0,increase_green_spaces
industrial,104,439,26,35,increase_green_spaces
downtown,950,363,65,34,increase_green_spaces
industrial,478,71,40,65,optimize_traffic
industrial,177,459,12,62,increase_green_spaces
downtown,509,432,8,22,optimize_traffic
industrial,673,52,35,8,expand_public_transport
downtown,231,176,85,33,expand_public_transport
suburban,700,346,89,45,increase_green_spaces
industrial,848,237,57,77,expand_public_transport
suburban,141,411,53,3,expand_public_transport
downtown,188,63,11,29,expand_public_transport
industrial,501,61,80,94,increase_green_spaces
downtown,395,136,77,74,increase_green_spaces
suburban,939,61,13,98,expand_public_transport
downtown,394,446,33,71,optimize_traffic
industrial,715,74,52,2,expand_public_transport
industrial,625,350,19,13,increase_green_spaces
suburban,899,292,74,59,increase_green_spaces
downtown,790,171,15,76,increase_green_spaces
industrial,736,196,94,44,expand_public_transport
suburban,521,104,69,95,optimize_traffic
industrial,964,287,55,33,increase_green_spaces
industrial,122,405,82,44,increase_green_spaces
downtown,674,222,57,60,expand_public_transport
industrial,242,441,3,82,optimize_traffic
downtown,764,270,3,15,expand_public_transport
industrial,244,168,19,65,increase_green_spaces
suburban,324,358,9,39,optimize_traffic
industrial,602,232,23,16,optimize_traffic
downtown,920,337,98,33,increase_green_spaces
downtown,715,356,25,15,optimize_traffic
suburban,203,349,36,59,optimize_traffic
industrial,138,131,84,65,expand_public_transport
industrial,297,451,53,65,increase_green_spaces
suburban,745,260,20,89,increase_green_spaces
industrial,678,199,73,12,increase_green_spaces
industrial,490,86,37,55,increase_green_spaces
downtown,278,401,45,30,increase_green_spaces
industrial,653,361,3,33,optimize_traffic
industrial,547,410,59,38,expand_public_transport
suburban,599,108,56,66,increase_green_spaces
suburban,114,180,44,7,expand_public_transport
downtown,722,461,19,86,expand_public_transport
industrial,768,251,16,77,optimize_traffic
industrial,388,292,70,54,increase_green_spaces
industrial,577,84,3,26,optimize_traffic
downtown,330,494,92,92,increase_green_spaces
downtown,519,142,13,52,optimize_traffic
suburban,256,487,2,38,expand_public_transport
downtown,649,496,87,64,increase_green_spaces
industrial,540,256,79,16,expand_public_transport
industrial,196,402,57,29,expand_public_transport
downtown,510,440,54,52,optimize_traffic
industrial,388,381,3,12,increase_green_spaces
industrial,353,354,23,20,expand_public_transport
downtown,295,399,33,18,optimize_traffic
downtown,697,262,29,52,increase_green_spaces
industrial,933,208,81,18,increase_green_spaces
industrial,621,491,18,56,expand_public_transport
industrial,616,494,30,24,increase_green_spaces
suburban,734,73,59,85,expand_public_transport
suburban,941,453,59,30,increase_green_spaces
suburban,964,342,18,80,optimize_traffic
downtown,217,53,48,54,expand_public_transport
suburban,905,269,62,22,expand_public_transport
downtown,258,413,82,31,increase_green_spaces
downtown,914,431,21,61,increase_green_spaces
suburban,327,69,23,73,expand_public_transport
suburban,976,493,75,9,increase_green_spaces
suburban,315,201,29,99,optimize_traffic
industrial,795,99,57,71,increase_green_spaces
suburban,114,226,30,53,optimize_traffic
industrial,256,484,99,51,optimize_traffic
downtown,747,145,63,19,optimize_traffic
industrial,360,154,18,31,optimize_traffic
suburban,256,469,47,13,optimize_traffic
downtown,146,299,44,49,increase_green_spaces
downtown,423,166,99,27,optimize_traffic
downtown,943,403,93,52,increase_green_spaces
industrial,784,277,54,23,optimize_traffic
suburban,229,115,54,78,expand_public_transport
downtown,510,384,96,21,optimize_traffic
downtown,194,467,17,29,expand_public_transport
downtown,726,469,62,62,optimize_traffic
industrial,854,311,91,3,optimize_traffic
industrial,391,344,46,76,optimize_traffic
suburban,893,475,74,58,expand_public_transport
industrial,910,292,56,86,expand_public_transport
downtown,382,420,44,7,optimize_traffic
suburban,168,235,32,81,increase_green_spaces
downtown,759,295,16,11,optimize_traffic
downtown,110,174,69,30,expand_public_transport
industrial,353,317,3,77,optimize_traffic
suburban,941,180,19,33,expand_public_transport
industrial,971,286,46,81,expand_public_transport
industrial,649,67,90,97,expand_public_transport
suburban,233,89,14,74,optimize_traffic
downtown,811,70,69,75,expand_public_transport
downtown,122,448,46,48,expand_public_transport
suburban,914,274,77,78,optimize_traffic
downtown,445,404,74,56,expand_public_transport
suburban,401,331,8,94,optimize_traffic
suburban,462,57,89,92,expand_public_transport
industrial,495,149,15,25,increase_green_spaces
suburban,317,289,68,17,increase_green_spaces
industrial,240,136,60,95,expand_public_transport
downtown,715,347,9,85,increase_green_spaces
downtown,309,477,49,37,optimize_traffic
downtown,722,63,2,80,increase_green_spaces
downtown,715,383,76,86,expand_public_transport
industrial,927,51,93,87,expand_public_transport
downtown,782,424,69,49,optimize_traffic
suburban,559,342,80,7,expand_public_transport
suburban,455,374,50,40,optimize_traffic
suburban,423,471,18,5,increase_green_spaces
industrial,232,90,41,68,increase_green_spaces
downtown,987,367,34,43,optimize_traffic
downtown,904,365,45,63,optimize_traffic
downtown,939,430,25,28,expand_public_transport
industrial,226,160,68,27,increase_green_spaces
suburban,205,63,92,10,optimize_traffic
suburban,703,280,63,64,increase_green_spaces
downtown,898,133,36,18,optimize_traffic
suburban,477,179,83,8,increase_green_spaces
suburban,150,280,48,26,expand_public_transport
industrial,128,375,20,33,increase_green_spaces
industrial,561,194,73,43,increase_green_spaces
industrial,395,428,63,67,increase_green_spaces
industrial,396,394,4,99,increase_green_spaces
downtown,825,77,99,81,increase_green_spaces
industrial,878,115,69,14,expand_public_transport
suburban,506,212,89,50,optimize_traffic
downtown,868,278,3,12,increase_green_spaces
suburban,913,310,38,82,expand_public_transport
suburban,712,498,34,48,increase_green_spaces
suburban,504,473,0,69,increase_green_spaces
industrial,445,489,23,55,optimize_traffic
industrial,721,213,56,75,increase_green_spaces
downtown,519,350,99,50,expand_public_transport
downtown,281,456,69,36,expand_public_transport
industrial,924,352,40,16,optimize_traffic
suburban,100,336,53,57,increase_green_spaces
downtown,930,444,45,86,expand_public_transport
industrial,666,59,59,89,increase_green_spaces
industrial,470,244,59,28,increase_green_spaces
industrial,760,167,56,32,increase_green_spaces
suburban,530,319,30,59,optimize_traffic
industrial,408,129,83,90,increase_green_spaces
industrial,236,142,23,88,expand_public_transport
industrial,301,315,88,54,increase_green_spaces
industrial,535,381,35,9,expand_public_transport
downtown,412,399,84,46,increase_green_spaces
downtown,216,410,29,22,expand_public_transport
industrial,765,306,23,84,expand_public_transport
suburban,902,182,29,20,increase_green_spaces
downtown,674,325,85,12,increase_green_spaces
industrial,343,313,91,32,expand_public_transport
downtown,636,220,6,23,optimize_traffic
downtown,701,50,34,10,increase_green_spaces
suburban,174,362,54,16,optimize_traffic
industrial,905,113,91,67,increase_green_spaces
industrial,485,423,13,46,increase_green_spaces
suburban,309,333,9,24,increase_green_spaces
suburban,574,170,79,93,increase_green_spaces
industrial,517,156,15,72,optimize_traffic
industrial,446,470,53,20,increase_green_spaces
suburban,628,224,94,83,expand_public_transport
downtown,739,253,88,82,expand_public_transport
downtown,975,214,76,82,optimize_traffic
suburban,862,354,69,11,increase_green_spaces
downtown,278,169,43,36,expand_public_transport
suburban,281,93,72,41,optimize_traffic
downtown,763,361,44,16,increase_green_spaces
downtown,124,205,99,47,expand_public_transport
industrial,279,416,55,27,expand_public_transport
industrial,809,256,83,40,optimize_traffic
downtown,600,439,81,98,increase_green_spaces
downtown,955,157,56,46,increase_green_spaces
industrial,260,300,20,17,expand_public_transport
industrial,276,494,67,77,expand_public_transport
industrial,384,453,49,98,expand_public_transport
suburban,162,419,32,70,increase_green_spaces
downtown,761,383,90,12,optimize_traffic
industrial,765,179,6,81,optimize_traffic
downtown,255,342,69,12,increase_green_spaces
suburban,981,69,14,99,optimize_traffic
suburban,568,331,81,30,expand_public_transport
industrial,148,334,31,1,optimize_traffic
suburban,948,50,74,15,optimize_traffic
downtown,183,168,19,8,optimize_traffic
industrial,460,84,87,72,expand_public_transport
downtown,788,247,14,37,increase_green_spaces
downtown,247,294,47,74,expand_public_transport
suburban,729,108,70,53,increase_green_spaces
suburban,441,374,20,55,increase_green_spaces
suburban,575,210,41,85,increase_green_spaces
suburban,162,228,25,96,optimize_traffic
suburban,800,255,13,99,optimize_traffic
industrial,459,61,56,86,increase_green_spaces
downtown,660,325,36,44,increase_green_spaces
downtown,426,230,57,33,optimize_traffic
downtown,868,291,20,8,expand_public_transport
downtown,835,265,81,87,increase_green_spaces
suburban,240,300,68,7,expand_public_transport
downtown,314,348,2,6,optimize_traffic
industrial,534,175,86,35,increase_green_spaces
industrial,990,266,89,17,expand_public_transport
downtown,822,355,36,2,expand_public_transport
downtown,417,334,87,27,expand_public_transport
industrial,131,234,48,69,optimize_traffic
industrial,769,88,18,43,optimize_traffic
suburban,384,272,88,20,expand_public_transport
industrial,404,233,84,27,expand_public_transport
suburban,528,476,11,53,optimize_traffic
suburban,576,227,60,53,expand_public_transport
suburban,385,456,40,64,expand_public_transport
suburban,243,477,32,99,optimize_traffic
suburban,523,343,49,20,expand_public_transport
downtown,118,389,67,98,expand_public_transport
industrial,117,200,70,12,expand_public_transport
suburban,868,433,85,56,optimize_traffic
industrial,689,175,32,48,expand_public_transport
industrial,470,350,80,53,optimize_traffic
suburban,274,357,23,9,optimize_traffic
downtown,293,385,60,52,increase_green_spaces
suburban,601,483,60,43,increase_green_spaces
downtown,212,283,97,46,expand_public_transport
industrial,213,429,27,52,optimize_traffic
downtown,321,424,57,73,increase_green_spaces
downtown,777,57,42,45,expand_public_transport
downtown,930,390,40,12,increase_green_spaces
industrial,743,178,38,36,increase_green_spaces
industrial,996,313,85,23,optimize_traffic
downtown,363,206,48,1,optimize_traffic
downtown,154,401,16,85,increase_green_spaces
suburban,970,407,97,80,increase_green_spaces
downtown,742,54,69,99,optimize_traffic
suburban,899,135,69,13,expand_public_transport
downtown,877,224,97,9,optimize_traffic
suburban,557,339,64,34,increase_green_spaces
industrial,977,242,73,24,expand_public_transport
downtown,261,360,84,2,increase_green_spaces
downtown,479,168,4,16,expand_public_transport
downtown,186,267,1,11,increase_green_spaces
downtown,154,476,21,53,expand_public_transport
suburban,575,463,56,23,expand_public_transport
downtown,899,163,65,28,increase_green_spaces
industrial,277,194,73,42,expand_public_transport
industrial,490,75,97,24,optimize_traffic
downtown,448,185,15,99,increase_green_spaces
industrial,107,352,50,59,optimize_traffic
downtown,932,281,38,89,increase_green_spaces
downtown,412,418,85,64,expand_public_transport
industrial,858,125,75,83,expand_public_transport
downtown,934,377,87,27,expand_public_transport
industrial,542,394,39,15,increase_green_spaces
suburban,866,351,37,46,optimize_traffic
downtown,427,338,59,80,optimize_traffic
suburban,153,50,58,91,increase_green_spaces
industrial,860,196,9,57,increase_green_spaces
suburban,338,336,98,75,optimize_traffic
suburban,328,191,63,26,optimize_traffic
industrial,678,102,62,52,optimize_traffic
suburban,150,353,48,41,optimize_traffic
suburban,708,118,63,58,increase_green_spaces
industrial,703,410,31,46,increase_green_spaces
suburban,363,139,6,93,expand_public_transport
industrial,517,495,20,33,optimize_traffic
suburban,902,269,19,36,expand_public_transport
industrial,195,499,25,5,increase_green_spaces
industrial,187,241,67,6,increase_green_spaces
suburban,177,112,85,95,expand_public_transport
suburban,387,122,14,95,optimize_traffic
suburban,219,210,84,24,optimize_traffic
downtown,913,218,78,32,optimize_traffic
downtown,590,138,85,54,optimize_traffic
downtown,551,225,91,57,expand_public_transport
industrial,599,318,13,6,expand_public_transport
suburban,264,122,26,56,increase_green_spaces
industrial,281,294,39,11,optimize_traffic
downtown,568,126,57,15,optimize_traffic
suburban,834,208,27,79,optimize_traffic
industrial,922,373,25,42,expand_public_transport
suburban,106,147,62,99,optimize_traffic
industrial,429,430,65,76,expand_public_transport
suburban,874,151,24,6,optimize_traffic
downtown,772,181,2,99,optimize_traffic
downtown,250,151,71,50,increase_green_spaces
suburban,184,68,43,72,optimize_traffic
industrial,246,131,96,31,optimize_traffic
downtown,723,446,41,74,increase_green_spaces
downtown,480,328,98,7,expand_public_transport
downtown,647,388,5,96,expand_public_transport
suburban,384,414,38,86,optimize_traffic
suburban,799,380,51,88,expand_public_transport
industrial,181,178,22,71,optimize_traffic
industrial,613,393,88,44,increase_green_spaces
industrial,996,359,49,85,increase_green_spaces
suburban,914,138,42,58,optimize_traffic
suburban,808,262,18,3,increase_green_spaces
industrial,622,192,68,66,increase_green_spaces
industrial,845,114,50,28,optimize_traffic
suburban,485,125,10,28,optimize_traffic
industrial,806,248,11,97,increase_green_spaces
downtown,570,192,73,97,expand_public_transport
suburban,218,454,7,27,expand_public_transport
industrial,495,452,23,76,optimize_traffic
suburban,631,365,91,78,optimize_traffic
downtown,360,142,40,86,expand_public_transport
suburban,904,466,35,43,increase_green_spaces
suburban,355,354,84,89,expand_public_transport
suburban,833,273,71,3,expand_public_transport
suburban,325,340,54,89,expand_public_transport
downtown,152,477,8,8,expand_public_transport
suburban,966,151,46,4,optimize_traffic
suburban,599,316,14,55,optimize_traffic
industrial,605,404,47,95,increase_green_spaces
suburban,953,159,81,83,increase_green_spaces
industrial,463,379,41,49,increase_green_spaces
downtown,379,499,59,74,increase_green_spaces
downtown,692,479,83,14,expand_public_transport
downtown,813,314,69,31,optimize_traffic
downtown,257,52,11,27,optimize_traffic
industrial,731,134,1,21,increase_green_spaces
suburban,158,331,6,16,increase_green_spaces
downtown,826,377,79,58,expand_public_transport
suburban,227,353,2,89,expand_public_transport
industrial,835,499,2,70,increase_green_spaces
industrial,820,461,26,56,optimize_traffic
industrial,981,166,39,25,optimize_traffic
downtown,214,270,32,24,optimize_traffic
suburban,308,203,91,9,increase_green_spaces
suburban,625,202,0,44,optimize_traffic
suburban,620,61,7,82,expand_public_transport
industrial,651,182,31,10,expand_public_transport
downtown,336,353,47,76,increase_green_spaces
industrial,380,342,3,52,expand_public_transport
industrial,458,349,93,71,increase_green_spaces
suburban,300,277,69,67,optimize_traffic
industrial,857,320,18,94,optimize_traffic
suburban,377,92,31,27,optimize_traffic
downtown,334,481,8,74,expand_public_transport
suburban,593,392,11,64,increase_green_spaces
downtown,103,375,10,48,optimize_traffic
suburban,765,351,45,46,increase_green_spaces
industrial,541,413,15,51,optimize_traffic
industrial,128,428,0,87,expand_public_transport
downtown,208,476,62,53,expand_public_transport
downtown,709,70,20,59,increase_green_spaces
downtown,826,456,29,56,expand_public_transport
suburban,904,156,12,46,expand_public_transport
suburban,174,385,33,30,increase_green_spaces
downtown,937,352,3,45,optimize_traffic
industrial,245,166,27,25,expand_public_transport
suburban,227,173,94,4,increase_green_spaces
suburban,952,448,58,83,expand_public_transport
suburban,141,330,26,51,expand_public_transport
downtown,455,341,68,74,expand_public_transport
downtown,140,252,24,53,expand_public_transport
downtown,133,100,2,32,increase_green_spaces
downtown,116,320,96,49,increase_green_spaces
downtown,776,373,67,37,increase_green_spaces
industrial,252,326,24,26,expand_public_transport
industrial,477,190,19,97,expand_public_transport
downtown,687,324,33,14,expand_public_transport
suburban,698,339,25,95,increase_green_spaces
downtown,728,383,4,60,expand_public_transport
industrial,973,430,98,20,optimize_traffic
industrial,441,422,60,45,expand_public_transport
suburban,126,101,91,68,optimize_traffic
industrial,924,76,92,5,expand_public_transport
downtown,386,206,8,37,increase_green_spaces
suburban,745,288,49,61,expand_public_transport
downtown,830,205,5,85,optimize_traffic
downtown,267,340,82,61,optimize_traffic
suburban,709,185,59,81,expand_public_transport
downtown,367,193,43,77,optimize_traffic
industrial,848,155,10,73,optimize_traffic
downtown,920,469,65,45,increase_green_spaces
suburban,554,207,46,12,expand_public_transport
suburban,784,195,72,94,expand_public_transport
suburban,500,51,84,93,expand_public_transport
downtown,575,482,87,2,optimize_traffic
suburban,801,126,97,93,expand_public_transport
suburban,733,181,85,5,expand_public_transport
downtown,657,139,2,92,increase_green_spaces
industrial,675,394,75,7,increase_green_spaces
downtown,229,399,91,43,increase_green_spaces
suburban,921,312,29,32,optimize_traffic
suburban,462,400,89,80,expand_public_transport
downtown,804,157,20,74,increase_green_spaces
industrial,918,123,27,76,increase_green_spaces
suburban,792,88,89,49,increase_green_spaces
suburban,391,446,61,10,expand_public_transport
suburban,470,208,32,94,expand_public_transport
downtown,893,120,84,27,expand_public_transport
suburban,128,496,34,69,optimize_traffic
industrial,248,361,51,40,optimize_traffic
suburban,878,290,33,15,increase_green_spaces
suburban,395,475,40,67,expand_public_transport
industrial,110,494,50,98,increase_green_spaces
suburban,611,347,46,47,expand_public_transport
downtown,775,489,81,55,expand_public_transport
downtown,212,85,57,63,expand_public_transport
downtown,286,133,74,58,optimize_traffic
industrial,906,423,56,89,optimize_traffic
suburban,843,312,22,61,expand_public_transport
downtown,326,359,47,75,increase_green_spaces
industrial,409,434,21,10,expand_public_transport
suburban,197,221,16,88,expand_public_transport
industrial,154,425,68,17,increase_green_spaces
downtown,722,222,10,18,expand_public_transport
downtown,763,411,93,86,increase_green_spaces
downtown,857,96,14,54,optimize_traffic
industrial,505,428,90,81,optimize_traffic
industrial,168,190,34,25,increase_green_spaces
downtown,411,424,32,5,optimize_traffic
industrial,388,455,83,3,optimize_traffic
downtown,861,167,15,28,increase_green_spaces
downtown,647,326,33,58,optimize_traffic
suburban,850,263,65,97,expand_public_transport
industrial,247,269,98,16,expand_public_transport
downtown,566,442,39,42,increase_green_spaces
downtown,838,75,27,79,optimize_traffic
industrial,343,58,46,65,expand_public_transport
suburban,590,320,38,33,expand_public_transport
suburban,948,59,69,7,optimize_traffic
downtown,606,427,72,12,optimize_traffic
industrial,464,170,19,7,expand_public_transport
suburban,581,174,0,93,expand_public_transport
industrial,300,219,71,95,increase_green_spaces
industrial,253,121,86,99,increase_green_spaces
downtown,549,201,62,93,expand_public_transport
suburban,600,257,66,64,increase_green_spaces
downtown,172,98,3,42,expand_public_transport
suburban,812,203,57,38,expand_public_transport
suburban,395,396,24,80,increase_green_spaces
suburban,116,342,46,58,increase_green_spaces
suburban,740,117,37,83,optimize_traffic
suburban,316,99,14,87,optimize_traffic
industrial,160,201,62,85,optimize_traffic
downtown,715,68,20,92,expand_public_transport
industrial,141,149,98,85,increase_green_spaces
suburban,124,109,56,43,expand_public_transport
downtown,138,216,52,8,increase_green_spaces
suburban,902,251,45,36,expand_public_transport
downtown,230,394,13,73,optimize_traffic
industrial,597,195,99,35,optimize_traffic
downtown,328,452,75,91,optimize_traffic
downtown,207,213,16,27,expand_public_transport
downtown,271,488,38,41,increase_green_spaces
downtown,534,291,8,42,increase_green_spaces
downtown,577,118,98,84,optimize_traffic
suburban,201,224,76,87,optimize_traffic
downtown,965,98,78,41,optimize_traffic
downtown,623,157,81,65,optimize_traffic
industrial,374,275,96,54,increase_green_spaces
downtown,712,210,5,71,expand_public_transport
industrial,143,168,90,47,expand_public_transport
suburban,916,198,22,90,expand_public_transport
downtown,116,199,58,21,expand_public_transport
industrial,429,481,90,26,optimize_traffic
industrial,668,342,97,92,optimize_traffic
suburban,922,192,45,66,optimize_traffic
downtown,596,468,37,12,expand_public_transport
downtown,914,209,13,44,optimize_traffic
industrial,111,60,99,9,optimize_traffic
downtown,417,187,71,99,increase_green_spaces
industrial,691,127,61,8,increase_green_spaces
downtown,315,126,34,53,optimize_traffic
industrial,438,490,18,26,increase_green_spaces
downtown,875,303,29,33,increase_green_spaces
suburban,760,458,77,0,optimize_traffic
downtown,180,307,83,31,optimize_traffic
downtown,826,369,24,88,optimize_traffic
suburban,584,340,39,92,optimize_traffic
downtown,473,312,87,70,expand_public_transport
suburban,809,134,13,66,expand_public_transport
downtown,299,195,25,83,optimize_traffic
industrial,636,372,86,19,increase_green_spaces
industrial,565,91,21,93,optimize_traffic
downtown,188,423,47,34,optimize_traffic
downtown,367,174,82,98,increase_green_spaces
downtown,754,216,50,90,expand_public_transport
industrial,670,474,2,89,optimize_traffic
downtown,588,290,41,77,optimize_traffic
industrial,976,329,18,16,expand_public_transport
suburban,637,237,72,17,expand_public_transport
industrial,146,351,27,44,increase_green_spaces
industrial,387,68,83,92,expand_public_transport
suburban,877,117,44,83,expand_public_transport
industrial,115,267,70,52,expand_public_transport
downtown,810,151,77,90,increase_green_spaces
downtown,500,91,62,81,expand_public_transport
industrial,893,337,72,67,expand_public_transport
downtown,185,216,18,64,increase_green_spaces
industrial,349,158,46,0,expand_public_transport
downtown,490,85,13,57,expand_public_transport
downtown,881,281,37,25,increase_green_spaces
industrial,434,278,52,19,optimize_traffic
downtown,728,402,60,86,increase_green_spaces
industrial,618,213,35,9,expand_public_transport
downtown,236,436,39,58,expand_public_transport
downtown,982,122,80,74,expand_public_transport
suburban,787,185,29,40,increase_green_spaces
suburban,939,402,8,4,expand_public_transport
industrial,597,428,63,64,expand_public_transport
suburban,926,119,32,16,increase_green_spaces
industrial,826,474,51,21,optimize_traffic
suburban,576,245,88,97,optimize_traffic
downtown,693,318,13,40,expand_public_transport
industrial,322,98,74,92,increase_green_spaces
industrial,471,365,52,67,expand_public_transport
downtown,501,179,98,68,increase_green_spaces
industrial,542,493,58,10,increase_green_spaces
industrial,589,54,77,55,optimize_traffic
suburban,714,477,93,50,optimize_traffic
industrial,372,76,40,20,increase_green_spaces
downtown,625,209,67,98,expand_public_transport
suburban,258,198,67,75,optimize_traffic
suburban,251,313,91,25,expand_public_transport
downtown,719,279,7,18,optimize_traffic
downtown,287,249,1,59,optimize_traffic
suburban,912,99,85,70,expand_public_transport
industrial,197,116,40,46,optimize_traffic
suburban,230,349,54,70,optimize_traffic
downtown,904,430,15,25,expand_public_transport
suburban,270,107,92,39,optimize_traffic
downtown,282,308,61,4,optimize_traffic
suburban,463,391,47,20,optimize_traffic
industrial,138,375,29,77,expand_public_transport
suburban,626,179,11,3,increase_green_spaces
suburban,987,264,34,22,expand_public_transport
downtown,596,221,10,83,increase_green_spaces
downtown,615,307,63,14,optimize_traffic
downtown,448,151,49,92,increase_green_spaces
suburban,496,258,84,7,expand_public_transport
industrial,821,340,20,40,expand_public_transport
downtown,260,403,68,18,optimize_traffic
downtown,115,335,47,45,increase_green_spaces
suburban,592,165,19,27,optimize_traffic
downtown,525,313,66,90,optimize_traffic
industrial,207,199,43,67,expand_public_transport
industrial,993,349,32,14,increase_green_spaces
downtown,549,491,72,98,increase_green_spaces
downtown,410,85,60,36,increase_green_spaces
suburban,838,382,8,0,increase_green_spaces
industrial,269,336,67,66,optimize_traffic
industrial,645,352,34,23,optimize_traffic
downtown,513,360,80,26,expand_public_transport
suburban,350,257,97,39,optimize_traffic
industrial,858,155,87,62,optimize_traffic
industrial,880,495,95,60,expand_public_transport
suburban,240,207,64,35,expand_public_transport
suburban,373,170,7,97,expand_public_transport
industrial,515,104,44,92,optimize_traffic
industrial,707,449,86,23,optimize_traffic
suburban,838,61,46,23,expand_public_transport
industrial,990,194,39,3,expand_public_transport
downtown,138,449,75,66,expand_public_transport
downtown,913,445,53,33,optimize_traffic
suburban,128,185,75,56,optimize_traffic
suburban,576,52,45,48,increase_green_spaces
suburban,417,193,46,86,optimize_traffic
downtown,344,79,14,52,optimize_traffic
industrial,847,286,18,22,optimize_traffic
downtown,796,328,25,68,expand_public_transport
industrial,371,397,51,94,optimize_traffic
downtown,539,164,92,52,expand_public_transport
industrial,847,153,21,61,increase_green_spaces
downtown,338,167,20,40,increase_green_spaces
suburban,476,54,50,56,expand_public_transport
downtown,365,409,37,59,expand_public_transport
industrial,458,297,19,53,expand_public_transport
downtown,439,413,28,69,optimize_traffic
downtown,488,370,50,56,increase_green_spaces
downtown,676,170,3,9,expand_public_transport
suburban,788,335,54,39,optimize_traffic
downtown,102,198,70,6,increase_green_spaces
suburban,528,133,91,37,optimize_traffic
suburban,241,455,27,84,increase_green_spaces
downtown,475,280,3,60,optimize_traffic
downtown,769,337,21,83,increase_green_spaces
