hour,day_of_week,weather_condition,traffic_flow
20,1,rain,467
22,6,rain,203
0,1,rain,431
2,6,rain,182
17,0,clear,276
9,6,snow,238
21,4,clear,314
2,2,rain,421
7,4,rain,483
13,2,rain,183
23,3,clear,260
17,4,clear,109
14,3,rain,477
21,1,clear,426
22,1,clear,444
1,0,rain,499
9,6,clear,480
1,4,snow,413
16,3,snow,413
7,2,snow,262
0,1,snow,265
8,6,rain,275
10,1,rain,180
21,2,rain,125
15,6,snow,335
6,6,snow,326
9,3,clear,205
22,3,clear,297
2,4,snow,267
17,4,snow,239
23,5,snow,466
12,5,snow,212
6,0,clear,229
3,1,snow,83
12,4,clear,90
19,3,snow,356
0,2,snow,480
7,3,snow,387
13,1,clear,363
15,5,clear,124
13,3,rain,490
11,0,snow,328
18,1,rain,225
22,5,rain,433
14,2,clear,199
1,5,clear,322
1,6,rain,374
22,0,snow,157
21,1,clear,188
18,2,snow,399
21,0,snow,320
21,5,rain,396
16,0,rain,468
19,1,rain,338
9,4,rain,261
5,0,clear,430
14,6,clear,321
21,0,rain,467
10,5,clear,115
4,5,rain,473
0,2,snow,297
7,5,snow,205
20,3,snow,96
11,1,rain,472
11,1,snow,250
4,4,clear,197
6,4,snow,173
3,1,snow,50
5,6,snow,296
12,4,clear,392
19,2,rain,177
14,5,clear,240
2,1,rain,116
22,4,rain,53
7,1,snow,491
19,3,rain,458
15,0,clear,352
12,5,clear,343
17,1,rain,192
9,0,snow,240
18,4,snow,70
16,0,clear,276
23,5,snow,362
18,1,rain,166
22,3,rain,486
4,6,clear,351
20,4,rain,191
22,1,clear,450
8,5,rain,88
11,4,clear,442
20,2,snow,404
0,0,rain,301
0,6,rain,382
14,5,clear,256
1,2,clear,259
21,1,rain,164
15,3,clear,274
7,4,rain,183
12,0,snow,300
20,4,clear,268
0,6,rain,456
15,1,snow,492
6,4,snow,140
4,0,rain,403
21,1,clear,425
22,4,rain,95
2,3,snow,87
11,5,rain,191
15,1,clear,149
18,5,snow,377
4,1,rain,239
21,3,clear,84
13,5,snow,196
4,2,clear,79
14,0,snow,383
16,2,rain,133
13,4,clear,418
19,3,snow,330
4,2,clear,473
11,1,clear,393
15,4,rain,319
15,4,clear,203
20,2,snow,151
6,2,snow,264
3,3,snow,199
0,0,snow,481
4,2,rain,132
22,6,clear,159
9,2,rain,484
21,5,clear,436
4,1,clear,475
3,6,clear,324
1,6,rain,250
19,5,clear,333
9,5,rain,222
18,4,snow,376
0,0,snow,255
23,1,clear,112
4,3,rain,122
12,6,snow,300
3,3,rain,173
15,2,rain,424
23,2,clear,170
15,3,snow,324
22,2,clear,480
1,0,clear,447
16,5,snow,169
19,2,snow,471
23,4,rain,486
11,2,snow,366
17,1,rain,213
2,0,rain,473
0,1,rain,335
0,1,snow,314
18,4,clear,369
10,0,rain,210
4,0,clear,425
11,0,clear,357
2,0,snow,138
0,0,clear,191
0,4,clear,252
7,2,snow,358
9,1,rain,276
10,0,clear,492
11,6,snow,383
12,2,clear,271
11,2,clear,90
13,1,rain,245
1,4,clear,117
18,3,snow,313
17,3,clear,51
2,2,rain,410
22,5,rain,174
16,5,snow,159
7,1,rain,135
9,3,clear,474
1,2,rain,169
18,4,snow,176
8,3,rain,304
6,2,rain,232
3,2,rain,65
20,0,snow,111
17,4,rain,418
12,0,rain,481
10,1,clear,207
23,0,snow,317
3,6,rain,84
20,0,snow,316
3,6,rain,113
9,3,rain,99
4,5,rain,304
8,2,clear,198
23,6,clear,374
2,4,clear,353
16,0,snow,325
2,6,snow,406
15,4,clear,221
3,5,snow,466
17,5,rain,250
16,0,rain,494
6,1,rain,442
23,0,clear,373
22,3,snow,84
4,6,clear,265
11,2,snow,114
16,1,rain,57
22,0,clear,350
12,4,snow,392
22,1,snow,480
2,6,rain,473
8,1,clear,381
16,6,clear,487
16,0,clear,125
19,6,rain,223
15,1,clear,96
21,4,rain,64
12,5,rain,410
18,1,rain,196
16,6,snow,75
3,5,clear,357
11,6,clear,142
8,4,rain,455
18,6,rain,281
11,0,clear,70
8,2,rain,356
6,1,clear,87
13,2,snow,325
19,6,rain,206
18,4,clear,228
14,1,rain,181
15,6,clear,360
20,5,clear,397
4,3,rain,77
2,6,snow,309
11,2,clear,455
19,1,clear,125
20,2,clear,478
3,1,snow,116
20,6,snow,391
22,0,rain,243
15,5,snow,211
6,6,rain,396
12,2,rain,488
20,3,snow,410
9,3,rain,306
6,4,snow,121
13,1,rain,136
4,2,snow,471
2,4,snow,311
22,2,rain,263
10,1,clear,202
10,6,rain,259
17,6,snow,450
14,3,clear,110
11,6,rain,317
8,6,rain,311
9,0,rain,267
11,3,clear,332
16,4,snow,185
5,5,rain,429
6,0,rain,411
13,4,rain,498
12,1,rain,490
7,0,rain,142
9,4,snow,158
8,1,snow,290
17,3,rain,404
1,5,clear,473
4,1,snow,191
4,6,clear,340
5,2,snow,481
18,1,rain,286
7,1,snow,389
15,5,rain,361
12,2,snow,226
0,6,rain,190
21,4,rain,238
19,4,rain,98
16,1,rain,351
6,2,clear,418
12,2,rain,239
3,6,clear,185
3,5,clear,92
5,3,rain,453
18,4,clear,429
11,5,snow,402
21,0,rain,139
6,4,clear,344
9,5,rain,390
18,4,rain,294
6,3,rain,482
2,0,clear,241
12,3,snow,367
12,6,snow,155
17,0,clear,412
19,1,rain,359
7,5,clear,431
8,0,clear,282
6,6,clear,314
0,6,rain,393
2,3,clear,86
12,4,rain,354
16,0,clear,90
23,5,snow,66
0,0,clear,393
5,2,clear,326
20,4,snow,356
5,5,rain,108
11,5,rain,472
12,1,clear,232
12,3,snow,90
14,1,rain,88
20,5,clear,446
15,4,snow,241
21,0,rain,316
20,0,rain,196
10,4,snow,444
4,5,snow,382
3,6,snow,176
2,0,snow,95
18,6,clear,94
19,0,snow,50
17,0,rain,217
14,3,rain,157
8,3,clear,68
16,2,rain,381
13,1,rain,121
14,4,snow,494
0,4,rain,158
20,4,clear,317
21,2,snow,494
21,3,snow,289
2,5,clear,466
15,6,snow,350
22,6,snow,139
10,5,clear,152
11,2,snow,299
9,5,clear,57
15,4,clear,202
7,1,rain,396
5,0,rain,223
11,6,snow,392
23,3,snow,207
20,3,clear,480
7,2,snow,264
3,3,clear,226
7,4,clear,224
17,6,snow,389
4,5,clear,387
8,4,rain,195
3,2,snow,499
21,4,rain,373
16,5,snow,210
8,1,clear,176
0,2,snow,469
20,1,rain,131
19,0,clear,196
12,1,snow,288
15,0,snow,461
12,0,snow,473
13,1,rain,133
2,2,rain,162
5,5,snow,274
17,4,clear,381
18,4,clear,427
4,5,rain,292
14,6,clear,192
1,6,rain,90
9,0,snow,472
23,0,rain,307
17,2,rain,496
12,3,snow,334
4,1,clear,154
22,0,rain,251
23,4,rain,499
0,2,snow,356
21,1,clear,380
0,2,rain,315
17,1,snow,447
14,1,rain,259
16,5,snow,100
10,0,clear,167
20,2,clear,250
21,2,clear,426
16,5,clear,88
12,4,rain,77
0,4,rain,308
1,6,clear,133
8,0,clear,204
2,0,clear,166
0,3,rain,51
20,5,clear,142
15,4,clear,215
22,1,clear,436
5,2,snow,449
16,0,clear,399
4,2,snow,345
4,2,snow,307
5,3,clear,130
2,4,snow,474
20,0,clear,317
22,2,rain,468
4,0,rain,284
20,1,rain,370
4,3,rain,360
9,1,snow,350
9,0,clear,406
18,6,clear,262
16,0,clear,111
20,4,rain,98
13,2,rain,176
8,2,clear,272
13,1,rain,458
0,3,clear,328
18,6,clear,457
12,5,clear,343
12,2,clear,333
3,4,clear,326
0,1,clear,487
16,1,clear,156
7,5,rain,195
1,4,clear,469
7,3,clear,148
6,4,rain,478
1,3,rain,424
21,4,rain,122
21,4,clear,486
2,0,snow,171
17,1,snow,79
11,4,rain,237
0,5,snow,413
21,4,rain,403
11,2,clear,337
4,1,snow,244
16,2,clear,205
15,1,snow,221
14,2,clear,384
22,4,snow,90
14,4,clear,112
4,0,clear,72
20,5,snow,409
13,2,clear,124
1,3,clear,97
10,0,clear,209
18,2,snow,362
6,2,snow,167
5,0,clear,149
1,4,clear,429
5,2,snow,466
17,4,snow,457
1,0,clear,216
17,4,clear,339
14,1,clear,489
18,3,rain,205
1,6,snow,470
19,2,rain,56
5,5,snow,245
0,3,snow,470
23,6,snow,105
14,4,snow,370
22,2,snow,242
9,4,snow,96
18,1,snow,197
16,0,rain,324
4,2,clear,206
3,6,clear,251
9,6,rain,493
23,1,rain,451
16,1,rain,468
9,2,rain,476
16,4,snow,175
19,5,clear,444
23,6,snow,354
4,6,clear,418
1,1,clear,343
5,3,rain,113
20,1,snow,374
1,5,rain,441
12,4,snow,467
10,4,clear,225
10,3,rain,165
15,6,rain,489
10,1,clear,253
18,4,clear,370
14,5,clear,80
22,2,rain,437
22,0,snow,162
15,0,rain,414
10,0,snow,483
21,6,rain,374
15,1,rain,463
7,3,clear,425
3,4,snow,393
7,2,rain,492
3,5,rain,116
23,2,clear,124
2,5,clear,94
2,6,snow,309
17,1,rain,203
18,0,snow,204
18,1,rain,479
20,6,snow,412
4,3,clear,497
17,3,rain,283
9,6,snow,100
21,5,clear,355
20,4,clear,311
5,4,snow,364
0,5,rain,174
4,3,rain,448
8,3,clear,294
11,3,rain,79
13,1,rain,475
1,3,rain,171
16,2,clear,174
13,0,snow,86
12,3,rain,219
8,5,clear,173
14,0,clear,406
21,1,snow,84
14,5,rain,136
23,0,rain,183
10,5,snow,245
15,1,snow,323
16,2,clear,250
3,1,clear,418
0,1,snow,334
7,5,rain,126
16,6,clear,108
2,4,clear,480
19,3,rain,175
14,3,clear,450
14,2,rain,158
23,2,rain,273
21,3,rain,327
13,4,snow,117
22,3,snow,118
13,6,snow,214
23,4,rain,354
1,2,rain,446
12,0,snow,211
13,5,clear,414
23,6,rain,391
18,6,clear,358
6,2,clear,428
2,2,rain,392
14,1,rain,484
22,6,clear,436
13,1,clear,91
10,1,snow,403
14,5,snow,465
12,1,rain,158
17,4,snow,100
5,3,snow,299
2,0,snow,390
18,2,snow,479
14,4,clear,432
22,0,rain,70
4,6,snow,349
9,6,clear,188
6,6,clear,408
16,4,clear,373
6,4,snow,434
21,2,snow,141
11,3,rain,496
16,1,snow,329
12,6,snow,174
19,5,clear,446
3,3,rain,160
9,5,snow,403
2,2,snow,188
8,2,clear,484
12,2,clear,322
17,0,snow,148
14,5,rain,301
3,3,rain,387
14,3,clear,153
21,4,clear,263
1,4,snow,298
14,6,clear,201
7,4,snow,299
7,2,rain,324
16,3,rain,214
11,5,snow,390
18,2,clear,57
9,0,rain,333
8,4,clear,54
4,2,rain,194
5,2,snow,150
19,0,snow,213
1,1,snow,423
23,3,rain,196
12,5,clear,113
5,6,clear,140
4,1,clear,166
0,4,rain,403
20,2,rain,316
21,0,rain,359
20,0,rain,222
5,3,rain,96
5,1,clear,189
22,6,rain,295
15,3,rain,198
3,2,clear,295
10,3,rain,444
23,5,clear,54
22,0,clear,233
8,0,snow,69
22,4,snow,474
2,4,snow,95
18,6,snow,61
7,2,rain,119
4,5,snow,66
3,1,clear,420
23,3,rain,196
5,6,snow,203
1,2,clear,353
19,4,rain,157
10,3,rain,285
3,4,snow,357
14,3,rain,401
5,1,clear,119
21,2,rain,232
16,3,clear,299
23,5,rain,277
5,6,snow,151
18,0,clear,124
1,5,rain,466
14,5,rain,495
10,6,rain,265
7,0,clear,456
18,5,clear,448
12,3,clear,460
11,3,snow,252
4,3,snow,241
5,0,clear,298
21,5,rain,291
3,0,snow,228
18,3,clear,486
19,6,rain,268
0,5,snow,131
19,5,rain,141
16,4,rain,484
11,4,rain,224
